Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,19.07170695,26.37655168,60.68739584,92.72709599,95.02507266
2,17.94710967,24.32127272,41.18211937,73.55811328,78.25930973
3,16.36965974,22.14289729,44.56422949,79.20089708,86.80236784
4,19.47563231,25.25666438,38.44018108,67.38287748,71.53411962
5,22.62725965,31.46514807,46.96853154,68.64063508,78.90510782
6,27.96894501,36.05209518,53.48570312,76.71357073,102.3973704
7,37.67186309,50.61482451,77.8553464,123.2710361,136.7373281
8,42.72829518,61.44445364,97.8960322,124.3451544,144.6591488
9,54.86903796,73.40737558,110.5485682,148.9440646,170.6346375
10,60.17672157,84.63163327,140.5599809,167.1187707,184.8801912
11,81.39524475,116.4847775,192.1027968,251.2097437,259.3903392
12,84.393353,100.8330249,166.193838,191.7842965,203.1313881
13,96.2208935,134.1201134,168.8132337,224.0705037,234.3628205
14,121.6998082,150.7620249,178.9624591,205.9743594,214.0373699
15,87.38889832,122.3798869,183.9213298,195.1492681,198.9266187
16,92.92212538,120.2015354,170.7386431,208.8879884,214.5785455
17,139.3882678,152.0390897,275.4499089,320.2316025,326.7428734
18,90.5529746,152.039982,190.927003,201.6295081,205.2189429
19,98.33443218,150.6774827,165.2304387,195.8968565,204.8463236
20,100.8323405,125.673558,256.3967016,270.9392723,275.8186138
21,91.42040852,98.57301762,182.8653947,193.6235937,197.2379409
22,92.77196876,142.372697,178.6166411,220.8495971,225.4181847
23,113.1189703,132.1076621,195.0727469,216.0134784,222.3061789
24,103.5114063,159.4522513,192.4230507,218.7174257,231.5857086
25,110.2015243,114.6677608,153.5671431,192.3795442,197.2185403
26,101.1291038,169.3347583,257.5379501,266.721951,269.7628096
27,124.1014855,135.3790882,154.5935809,163.5604596,166.5714412
28,108.7596431,161.2813968,184.3010062,246.5124029,250.2979892
29,117.4903964,148.4486388,177.5949878,202.4765723,214.1110591
30,130.9566891,144.9650566,174.2458605,183.6668528,184.6387879
31,96.0812878,123.6157231,186.1811404,202.1134484,208.883707
32,130.707856,156.3316418,191.1580679,242.7208225,251.8375755
33,111.0678719,149.8600414,195.6271744,208.3226505,212.4245726
34,111.9222627,153.3517107,189.3300373,213.2149516,217.7002735
35,168.5747314,175.1959559,194.0513799,209.7019924,214.6172529
36,137.2402256,141.2901309,169.1013245,197.9342093,204.0156076
37,103.7116834,138.4362841,172.078066,183.8501424,186.4093998
38,100.7093518,140.1255936,214.7714284,244.4605807,251.0187433
39,96.90432702,159.0983561,181.4276712,210.5294436,219.7919517
40,135.3793115,153.5143154,193.1383403,209.9407588,225.5983541
41,91.70621483,126.3240649,180.0742794,254.4778281,262.034977
42,133.4800621,152.4973395,199.5312495,273.0900077,281.1842686
43,147.4831502,157.4669115,192.96578,207.624707,213.0172178
44,68.0699706,81.80376617,127.8611702,154.1169595,159.7919085
45,113.6634103,152.8558201,176.7708749,221.0257282,231.5507852
46,111.2411337,132.2819692,166.84613,189.8169824,194.2077519
47,120.8169549,141.4058602,174.4495254,216.4297603,224.3456067
48,103.5190588,131.6884695,158.6947153,189.2814433,194.6846678
49,123.0663749,143.3156863,174.0585475,268.292024,277.76943
50,115.9978587,141.181852,168.5938031,201.9895034,209.4405056
51,134.5279297,156.1800658,180.6365584,197.7785223,205.000286
52,101.1531029,151.2590041,161.8654438,200.4651585,208.3864114
53,124.4912859,136.9073887,165.510408,200.9440803,215.1612558
54,125.9449159,141.4748432,171.2432082,225.2603428,234.1729883
55,104.5788989,132.4099686,170.1750935,189.4484915,195.8456184
56,122.5355324,143.4656744,208.5937211,242.1815118,257.3874113
57,128.141153,148.4883214,197.7486666,218.1044259,224.6848981
58,108.7575757,153.3118567,187.6656566,251.9498318,255.8240143
59,124.4457871,193.3726764,204.0353138,215.2858927,219.0569911
60,131.5458157,159.8911324,226.6268339,230.0951319,231.2285536
61,142.9935236,153.2555547,184.4507194,202.0542401,206.5549816
62,124.0373442,140.2349711,170.1648161,212.0344343,215.593239
63,112.2231702,135.5909965,174.6103481,225.3029464,236.2389936
64,105.8958086,161.5456768,198.5998879,207.5905025,211.7062677
65,118.2252841,150.7761555,218.3227771,227.5637885,232.2293487
66,119.3109421,158.6373705,168.2079118,198.836433,202.1053225
67,108.8635848,127.0035145,179.5860293,232.987053,237.5589449
68,121.0154176,141.7080756,177.9428375,231.0143796,235.425758
69,127.8651602,183.9059243,224.1924059,245.3293776,249.5745176
70,141.2686104,148.9785602,240.2531134,257.0159113,262.6857451
71,147.9449662,155.184328,275.9854323,289.1129377,293.4923548
72,97.03852339,122.6061932,165.0532305,175.4608817,178.4759108
73,108.5070883,114.8601821,144.1698245,189.7257468,193.0733588
74,113.3657784,135.5091166,186.1591838,217.8492047,225.9120521
75,118.6912844,156.8606613,209.907748,256.3143012,262.4240044
76,130.1708171,144.3365601,175.5068906,200.5520335,208.3581317
77,106.9207952,140.2723465,201.749606,247.4273678,251.1130416
78,100.8208982,132.9446143,170.7040954,216.648637,226.0086995
