Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,29.31420438,39.46547731,56.91305948,83.74648302,90.82567419
2,39.91039249,51.62972225,82.96805993,106.791284,115.6105243
3,44.09142226,63.29470455,85.88181857,130.7017593,145.5331881
4,53.08455004,66.25127986,93.66470313,115.0283503,124.173253
5,50.58436234,66.75105173,99.67092369,132.4591517,148.4791952
6,55.48215368,70.216284,109.5367608,140.6906098,152.5632701
7,56.79232225,73.52162408,103.1358105,133.1469341,142.74147
8,52.58763747,68.29082217,97.46396862,126.5247955,140.9503613
9,53.8521007,70.50987652,110.5715326,142.7587354,173.7007999
10,58.9255194,78.30303134,111.8784953,141.6780689,155.0895584
11,58.87269174,76.52583521,103.774981,136.5509386,156.8012353
12,52.1856094,68.41499217,93.04019727,122.5117539,146.4326327
13,62.32740029,76.88657671,104.8745271,148.105045,160.988677
14,52.1433304,70.2113062,103.1002302,140.4701568,151.8427631
15,60.62746305,77.25549799,103.4908078,129.0376173,153.4426279
16,55.99228135,70.88666682,97.89832005,133.7444524,148.2525075
17,57.26455866,75.13067858,102.9665004,136.7240263,168.247448
18,56.1620432,72.6262863,101.1742183,131.4615304,154.0869662
19,53.85068589,72.51216311,102.1362612,127.3832633,141.9511385
20,56.88623454,69.9879562,95.70789084,121.7964796,143.1698703
21,56.93439512,71.57903463,95.31701199,135.5947331,157.0802006
22,56.08698078,73.0013787,103.7685056,142.1911844,154.3515312
23,57.52268146,73.44158728,101.3733269,137.2137343,153.9488089
24,58.96296531,76.02547488,105.0913277,137.5181374,150.6132533
25,55.33867424,73.9158344,102.4908646,129.7857212,144.8387599
26,57.65171265,74.67663551,103.234288,135.5758396,148.0879815
27,56.40009978,71.95025651,98.12397981,145.671475,164.5618229
28,59.35981198,75.52630187,103.3905566,137.657697,168.0004719
29,54.64872496,72.16660449,96.27311616,121.0569609,135.7187518
30,56.09836095,72.5738389,101.4896415,136.1191448,159.1260147
31,55.04679385,70.89445871,102.4870037,132.541998,144.1964347
32,59.69569581,73.98690402,100.3762025,129.8619759,155.4582626
33,55.36929606,70.99365946,96.6756671,128.0158177,145.5002647
34,57.51546856,75.6232247,102.1530121,131.2715737,154.4404156
35,56.55455817,70.15075944,100.4834413,128.050034,149.8139255
36,58.63601233,72.48688555,102.0288676,130.1434782,150.2587247
37,53.09867005,68.60801702,94.63512661,124.5894297,143.4200689
38,54.99463699,69.26974528,100.8576967,133.1304846,149.6540889
39,59.19604707,73.55735718,103.9964472,137.5807892,155.3386395
40,61.28483585,74.54077915,105.0148241,143.7050114,170.9636358
41,60.45661395,74.24904101,108.7059705,164.6705886,171.6452776
42,67.27768456,80.52641628,108.7669059,145.3658552,165.2078292
43,62.34615894,80.77876858,107.1185152,137.255341,177.7359423
44,63.03441596,79.35105658,103.7807359,140.9932188,165.3002356
45,59.97394008,73.98856885,101.969627,139.4752135,150.3101918
46,63.47217652,78.07433408,106.2244511,137.6727599,155.6628512
47,65.43818005,77.91848877,103.7959686,137.1110036,144.4992568
48,60.12634341,78.71042369,114.601285,140.9608248,152.8909474
49,62.20791896,75.19836926,103.219866,143.0267424,160.5399003
50,60.28917054,72.97780392,102.8430008,133.467298,168.0049372
51,62.90536774,78.76723106,106.591071,137.4491718,149.4445999
52,57.792219,73.14754756,99.92672055,130.7800764,141.9130322
53,63.4980748,76.67951957,101.5832797,140.8316512,157.8831107
54,58.7275015,73.19884015,95.82528438,124.7931372,147.5916635
55,59.37481458,72.71323078,98.77127475,131.0066089,148.4584322
56,58.232182,73.49566108,101.6268097,128.4519098,154.9367391
57,60.39372111,71.83333258,93.5652526,126.2987672,145.2805766
58,62.08264885,71.19614277,97.30615,127.474257,139.3077739
59,58.77798173,72.87956344,100.4214174,126.6898582,141.720552
60,61.01611656,72.50208982,105.1223327,136.1667984,163.8938202
61,60.15385748,73.96156965,96.58176068,127.1072956,151.7012759
62,61.61799031,75.9893197,105.0443578,139.8282874,177.3830788
63,60.09150142,74.6471948,97.38244661,128.3866185,139.3354929
64,62.47502921,75.8396567,98.23765315,132.961162,144.6703334
65,58.82517039,72.72847256,99.24814176,128.998033,151.1470809
66,58.7969618,71.5447304,99.64694732,132.6564024,151.8748723
67,60.15832092,74.47105607,103.6155878,146.1234667,156.6379804
68,60.12410941,70.71230513,96.03086202,138.1144659,150.4140185
69,59.11655313,69.69956497,95.74080413,122.1092515,132.9788814
70,58.8171585,71.05216299,93.74225385,117.9136458,144.8005685
71,61.76613373,74.3900336,104.6383568,145.3069228,166.8419804
72,58.5199218,69.70144527,95.47071189,120.6526994,147.9062154
73,59.9465182,72.84321112,102.3894665,149.7867496,158.8923506
74,57.00544153,69.36460713,97.86826725,139.9285148,158.143547
75,58.6303236,72.97236542,97.06297092,131.7448507,146.9638182
76,58.10943791,71.62874644,98.96541718,125.5372961,145.9810987
77,58.21341756,71.13179747,101.6409334,125.9822195,138.8949658
78,59.98479514,71.18962275,100.5901425,134.9448568,152.7022987
79,55.85646164,68.38043142,89.59965524,119.2010478,129.7858247
80,56.41222818,69.24711234,96.00540246,125.7293699,141.1982464
81,57.27169339,69.41884929,93.10301031,127.8326107,152.3526344
82,57.48211073,69.24565236,93.19931182,122.2180645,133.9054752
83,58.46742998,73.01623772,97.99140129,135.672395,162.582872
84,61.53537995,73.29500156,102.049648,135.8400051,153.7439216
85,68.52310956,77.93551918,101.7413658,133.1703903,141.7093048
86,62.20901825,78.81085552,103.7535992,142.8095885,155.9128113
87,60.33848326,72.7988877,96.45048428,135.474454,151.1427112
88,58.07944183,72.75091736,102.9672674,130.0183401,137.4754023
89,68.54949155,83.80261522,108.4876321,144.6797514,154.1503249
90,62.09607424,74.91896705,99.87740665,145.1502153,165.9391971
91,60.74690537,73.2878587,92.82002743,128.4441609,140.6557299
92,59.30083389,77.82023748,101.5066394,122.0711293,137.8176216
93,60.90642152,73.42855361,96.68530906,127.0699922,138.569587
94,63.67459928,76.79437387,102.9821015,128.2949853,140.1267197
95,58.86664628,72.42554431,97.43272869,123.9285867,149.7753493
96,66.24923001,78.7051852,101.9615117,136.8912433,150.359982
97,59.2088326,74.87765537,97.69241585,129.2154586,141.6264833
98,61.30171155,77.73614298,102.1278914,126.0354791,155.9070462
99,58.07042679,72.40188085,97.94450126,134.2629361,149.1094676
100,62.21692888,74.00785901,101.46668,151.7091329,168.2904565
101,57.85486109,71.88635892,95.61417591,128.1787782,139.2914074
102,63.09848185,76.33480815,101.9587102,131.5085795,149.6366066
103,60.62119253,73.24734603,99.66806963,131.1095444,144.3363449
104,57.84374858,70.31675606,99.73910409,122.6269851,139.9942241
105,59.79405869,75.6507001,106.0087503,145.4870148,162.0716069
106,57.58822765,70.10543827,94.77023216,127.4712268,158.0986072
107,58.41115695,75.55981393,108.0759068,145.7805732,187.819755
108,59.29056919,72.39910352,98.19605522,133.3492191,151.0958511
109,60.71811742,72.42196637,101.3174496,132.8725139,146.9042002
110,58.33036095,73.49212015,104.9253039,138.3542458,154.6808086
111,58.69500296,70.80860316,95.98977587,122.8872671,135.1255805
112,55.84143728,67.95383639,90.132096,116.6211554,139.1120758
113,61.5825733,75.26292185,100.2869732,127.4510634,144.8719038
114,60.45747182,73.35034901,100.654043,145.5729789,165.2242311
115,59.17854029,71.76674358,97.0669743,133.346322,148.351563
116,59.09898036,70.98708349,96.0800257,124.8308,152.8556027
117,58.00931931,71.00764476,95.13565586,137.573491,157.0060451
118,56.51276316,68.87638856,90.26542297,130.0166665,156.0766796
