Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,45.35499686,62.03576998,98.31814241,132.9518982,149.7280951
2,50.89461438,71.67090028,109.1247213,142.4082505,161.7459451
3,61.69145774,83.49965558,128.614666,176.0505182,202.3528314
4,56.66052987,81.43719562,122.1123411,163.5584096,197.7400705
5,60.30595007,85.02255181,124.3881652,165.5792479,194.9205084
6,59.34087679,84.25681282,123.9871955,166.3828655,191.2288387
7,62.086033,85.23077248,128.1881455,168.2701933,188.197271
8,66.60464074,92.57418958,134.8953318,177.4900585,203.778694
9,63.82717034,85.65975852,126.6539355,166.7891415,195.2320838
10,62.75730063,82.87412289,123.749425,157.7973945,177.4827711
11,62.38074599,84.99544366,128.4603525,163.7951133,188.6558157
12,62.1016957,82.88287994,121.9330964,165.0390016,188.7962445
13,69.62989223,92.46814627,131.1489815,173.2417349,190.5164819
14,64.3835298,91.89636589,139.6235156,179.1401614,197.3290255
15,74.10222095,99.62769558,142.172731,178.1863129,206.5362682
16,74.87439598,108.4973387,152.0165319,216.1205892,279.540765
17,67.79685999,88.98203627,128.3680008,164.352265,181.1193376
18,73.42387314,100.4581173,150.1448719,186.2856705,234.9510671
19,65.55663509,91.14562496,130.1404545,165.1042517,197.2212121
20,82.01434295,109.8334251,151.5389643,186.7533392,213.9604954
21,66.30528823,87.6190919,125.2825121,163.8101337,181.1033907
22,77.21383559,101.5210639,142.4157494,190.4991413,203.4683033
23,59.59058931,82.31166009,122.6987499,177.2244012,195.081711
24,70.26159649,93.52432381,136.4299859,175.6235238,205.1865999
25,65.84625141,90.40430309,136.628591,168.4898385,182.0613511
26,68.19592779,90.4756249,132.7114345,168.4583449,185.1583467
27,72.61241221,94.62011428,144.7276254,191.2663535,228.0448678
28,68.69389022,88.40120113,130.7756818,163.1139591,186.6866475
29,71.48766199,95.56325529,139.8739932,174.1739091,193.5230173
30,65.80138921,87.02165339,131.2445134,175.2149332,192.1664847
31,69.02809661,92.28511632,137.5259996,189.0323787,213.8285317
32,65.07260683,88.40494793,129.4692078,164.0251273,190.053286
33,80.88898159,103.6184159,141.4699277,171.5546,192.7961976
34,63.9083505,89.19080528,121.6291415,168.3641219,213.1089321
35,70.46019611,90.23327201,126.5865165,168.1515113,193.1013012
36,64.49237793,91.03106214,129.5406639,172.4958831,223.7176489
37,67.36758056,90.58307684,131.8766146,183.7871725,200.0613542
38,67.31493662,87.08538185,127.0516177,169.8088233,205.7332675
39,67.50214049,95.12026396,133.1980403,169.59005,187.7036321
40,69.00522513,93.90656071,132.6620373,170.4599921,189.4284481
41,64.14068997,85.81521017,125.2822002,156.239949,177.6602587
42,67.93134086,94.91405507,131.9326635,170.1269878,189.8029103
43,62.48455826,84.98278215,128.4295938,167.0545128,190.4024823
44,67.7827937,91.74343649,132.8636451,163.4448265,187.1023819
45,62.44294041,85.58644174,124.3850242,167.9265496,199.5599229
46,71.52736215,93.68287182,136.0093819,178.4394316,208.4404105
47,64.52169002,86.22274505,122.4026926,169.5641669,232.4416294
48,64.93336635,91.10812861,127.3229579,165.6489005,195.7074836
49,62.91210468,83.10740619,128.3378998,168.2538069,192.8695099
50,68.80672353,91.2781376,130.6405515,187.0298945,237.1054907
51,58.77818045,76.87714392,112.5181036,148.7289173,170.1683841
52,61.77538996,85.22016644,129.4297867,163.1768239,189.3951708
53,63.37907677,87.18410221,128.2923807,162.5326965,180.6229451
54,62.3683671,87.52088355,125.9067966,175.5156129,205.3508036
55,63.13043628,87.11034047,127.8899454,164.9007822,192.0810158
56,67.18905594,85.81695003,124.0492768,170.1542849,195.4823469
57,69.72577173,91.90980223,141.1074321,183.3408284,204.2167702
58,70.48468758,95.83709658,140.7543906,180.811132,203.8075621
59,72.91401378,98.9806504,135.9849627,163.8193997,177.8243201
60,79.85882997,101.155347,136.0734267,183.0126689,212.8414723
61,79.68938548,107.718288,143.9971199,173.4434403,227.8715245
62,68.50013779,93.79001977,139.2243934,193.0132406,240.7756925
63,68.95579325,90.85942881,133.8886405,182.9962399,198.6490401
64,66.78402392,91.06709487,128.9826079,175.8267737,200.2069226
65,75.5728595,95.35914796,137.3182111,192.52425,203.1778829
66,71.78480208,91.78745205,132.7349818,181.7151901,198.6208315
67,70.92840562,97.55630373,143.6150744,173.6868161,180.9709471
68,66.18417542,87.86907913,133.2898425,178.9202254,205.3906516
69,74.60199202,98.23984452,138.6571511,168.6024017,197.1656113
