Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,40.0590102,58.21036082,85.47315536,116.1511155,136.4714875
2,52.58652505,75.25629605,108.6040262,147.8802173,162.5702837
3,59.61361095,82.06664524,118.911639,160.1659966,173.5684507
4,57.14945648,83.2823704,127.2667478,177.3557862,216.0529685
5,59.12681009,81.353293,125.8114059,173.0947015,225.9400535
6,59.94915146,82.20327057,125.3229339,167.1211342,195.3607481
7,63.22506552,90.20855816,127.7168385,168.7799829,215.9865086
8,58.93746085,83.8679121,126.6976032,167.6816977,187.5650085
9,61.85230159,81.10033825,117.6786531,147.8918155,165.9333512
10,58.88877164,82.25364729,120.443002,162.0661888,188.9607675
11,61.55773179,86.81732637,133.2880736,188.110245,207.9788854
12,59.28009178,85.41088446,125.0371746,156.3358478,187.0113158
13,63.06326656,84.81430751,121.1242335,159.8731112,186.4044719
14,61.44653062,88.71931875,128.2589703,173.1192188,214.3415422
15,62.29083979,92.22361277,136.0343739,153.4777565,167.720195
16,69.21059379,96.46749683,142.129412,171.5148795,189.1478372
17,68.17414209,87.51970029,134.1932887,170.6702972,180.6674798
18,67.02798886,91.28949014,134.6354189,174.2700907,257.7140429
19,74.58525872,97.54070296,140.7235127,195.0706077,220.6057993
20,81.36773328,106.8958892,148.0018651,204.4324611,256.9433385
21,68.11221587,88.56158863,128.1301408,179.9543531,191.8956903
22,62.71524347,88.03779671,126.5522103,153.7464862,162.6892194
23,66.14761837,92.88021587,138.4813261,169.1987552,180.7600532
24,78.24608679,101.3743562,143.3917792,197.2512553,221.675905
25,65.97405921,89.40804377,135.9628377,174.8361364,249.9583825
26,72.90253358,96.87393231,142.5810558,220.1512913,238.0882953
27,67.46671504,89.40678855,127.48334,160.6609547,170.1762765
28,72.51152041,93.35219989,139.9119222,171.9786608,178.8589336
29,63.44616344,92.43808808,137.9812855,195.9832038,223.2728298
30,66.82011445,97.44179361,135.8070539,169.7738466,204.1140025
31,66.92650388,92.17911981,128.8898606,160.8003605,176.4820048
32,76.10513946,99.1156452,146.6670832,201.1869156,226.551934
33,67.84396997,89.84300669,131.550033,174.6718251,196.7484381
34,65.8733612,88.1540062,137.5024839,169.4251788,203.7971034
35,78.88864753,102.7137441,150.3643888,195.1334638,230.6382063
36,66.12063933,86.1450635,124.2490231,168.3329322,188.2079787
37,67.68149457,94.0857691,131.3263552,174.7775769,196.8284939
38,66.86349557,94.8242372,129.4048269,176.0035066,205.9596756
39,66.09875845,93.61895882,130.144458,162.7674833,194.8019648
40,60.46721084,81.70967401,119.3510413,161.5586575,201.321084
41,62.12294638,89.51861703,130.4980562,164.7922484,186.4307645
42,60.45382626,83.76377834,123.6010507,162.8851803,185.1076639
43,72.62237869,101.8339958,136.34746,163.7795315,179.8602295
44,66.71616465,92.25509731,143.0117249,185.5410537,202.5917634
45,65.95901885,92.11685792,130.1469894,174.1666055,212.9650605
46,63.29634542,87.61207784,133.0288043,164.7654518,190.8771723
47,64.21563018,88.00506204,128.6142201,168.9582784,191.5273576
48,60.47224586,84.03510046,126.8871964,159.3845263,171.8401909
49,63.49500892,90.12226175,135.3592855,185.5783945,214.7951673
50,60.39136331,82.47240792,119.5900084,156.2443828,168.4749993
51,62.17207889,81.7237606,124.324287,164.8297375,184.2000973
52,62.41739663,86.67351386,129.2759779,171.8137189,190.1877419
53,60.04324176,83.08409259,119.1052675,152.2172613,169.2051472
54,66.51299949,91.76779925,130.3142429,166.7522273,186.9825343
55,58.99398226,80.5047081,121.5717686,157.924861,186.9062994
56,63.25967181,86.2988091,124.1290345,171.0728096,190.4335669
57,57.17190662,78.16745796,118.8843778,167.4498944,190.5364182
58,66.69294646,90.94814533,130.566677,170.5091134,193.0349354
59,56.26592496,79.34506494,120.2172559,166.7080193,264.1630875
60,68.07339218,89.91001223,119.8322175,159.2822749,179.4419797
61,76.29659741,98.97905604,129.7581884,169.7960831,211.6351513
62,71.42437177,99.91197614,148.0608608,166.1741884,173.3796441
63,66.17277615,91.89366808,126.3964517,170.7265616,193.4589331
64,69.38632197,92.67857925,165.5630475,224.4493956,283.8150935
65,67.6789555,88.46859642,129.5886738,175.3898146,198.3180966
66,72.80729031,103.6889543,143.1585357,220.9609296,263.446465
67,65.66427268,85.54420924,133.3960983,162.6183189,179.8562129
68,67.4219745,96.55813294,142.3235188,180.1490881,203.2769651
69,60.48544806,85.07982831,128.564523,168.333256,179.5824801
70,72.2278463,92.49969053,145.1470315,185.9968353,224.1571451
71,66.97190877,87.74867854,129.2129109,191.6033957,239.2702733
72,70.79223184,97.7379455,133.3026951,183.1151496,207.9996112
73,67.85893952,89.37282399,131.081459,180.1316174,210.5423162
74,66.02686644,90.99377698,132.5755185,168.7179308,191.0093113
75,71.27462765,94.61473256,150.3208365,183.3273699,215.4130315
76,63.6853324,89.39019118,129.3834511,167.2415869,215.2120915
77,71.29931105,91.83970264,132.5104732,180.5079928,204.3627765
78,63.43470949,86.74711197,124.2532354,174.6269111,196.2350455
79,69.4266637,94.40143524,135.8535363,167.5133321,185.2037566
80,62.3701321,83.33850531,123.862543,164.2972988,187.5058621
81,64.24980592,87.92502949,126.6941037,164.3713655,202.9961766
82,64.19862966,88.19889119,135.2184646,175.2484834,218.3201478
83,66.4435226,90.51318227,133.5178446,168.1088432,188.1933566
84,62.20984952,86.27110032,128.9115533,159.7743447,173.9332105
85,66.5253813,90.07763829,131.7877443,178.6711551,199.5689592
86,65.21163182,93.72977257,128.4128161,168.6218817,184.4132012
87,61.49259305,88.60707944,129.3496952,167.776595,222.0822089
88,69.04457627,91.37876437,130.1928124,163.8106251,191.8135585
89,60.66427284,81.97355181,124.3042863,164.8819797,187.1983546
90,65.96018691,88.53761084,126.3115298,160.7445805,201.7093082
91,56.78223737,78.28797491,119.1635804,150.486165,168.3577419
92,66.47176886,88.16000685,130.5715122,170.7757799,193.8152343
93,61.73230218,86.11813133,130.9467797,174.1918048,194.0381905
94,62.67769195,83.69918653,121.9360271,157.9011404,175.1076528
95,61.28184621,83.61210376,121.1745382,175.6140686,203.7141831
96,59.16627065,83.82220231,119.5372714,152.7599128,171.0558976
97,61.03014366,83.09967797,127.9505985,167.2875012,190.8122882
98,60.59759154,82.3796125,126.3334705,167.8363195,191.6475342
